TID,Tweets,Label
5.00E+17,o be clear: an unarmed teenager possibly stealing a box of cigars does not warrant being shot to death by the police.,2
6.75E+17,do you know me  do you know my heart  muslims in new york share their experiences ,3
4.90E+17, this is the surface-to-air missile ukraine says shot down malaysia airlines plane ,1
5.49E+17, bobby shmurda stabbed to death in jail by cell mate,1
6.65E+17," breaking: police operation at bataclan concert venue over, two attackers killed:",3
6.94E+17, zika fever: a newly emerging disease is threatening the americas ,3
5.00E+17,how many white celebrities have been caught shoplifting and end up dead in streets i'll wait. ferguson,2
6.94E+17,"from otlonespn: baylor faces accusations of ignoring sex assault claims against athletes, not supporting victims:",3
5.32E+17, manager bans teen slang from work including 'chill'. adds stop accusing people of having ebola ,1
7.68E+17,japanese prime minister shinzo abe at rio2016 closing ceremony is all our super mario dreams. ,3
4.97E+17,justin bieber ringtone saves russian fisherman from potentially fatal bear attack.,1
6.90E+17,"uk home secretary theresa may says litvinenko's murder was ""blatant and unacceptable"" breach of international law",3
5.46E+17, interested in growing your follower base on twitter  set up a followers campaign today.,2
5.23E+17,"a passenger at an african airport  no, the man in a homemade hazmat suit is flying out of dulles, washington:",2
5.32E+17,breaking news: iraqi state tv confirms isis group leader al-baghdadi wounded in airstrike,2
3.77E+17," once again, jk rowling is not working on an eighth harry potter book. i expect this rumour originated from either the quibbler or trelawney.",1
5.00E+17," if we shot everyone in the street for stealing, imagine the carnage on wall st. mikebrown ferguson",2
5.17E+17,"d.a. to seek death in moore, oklahoma beheading case. altonnolen kellyfile",0
5.22E+17,"isis barbarians are using chemical weapons , against kurds in kobane airdrop2kobane",2
5.54E+17,more: official: gunman holding at least five hostages in paris market has threatened to kill them if police approach:,2
5.02E+17,"please pray for steven sotloff, [another captive american] that isis has threatened to behead",0
5.25E+17,"cpl. nathan cirillo pictured on the left, minutes before he was shot at the war memorial today.",0
7.60E+17,poll: five percent of americans would vote harambe the dead ape for president,3
5.53E+17,banksy's response to the charliehebdo attack isn't by banksy. but it is striking: ,1
5.72E+17, now: 12-year-old conservative cj pearson defends giuliani's comments on obama and his facebook gets shut down,1
5.30E+17," breaking: huge explosion of an oil pipeline belonging to saudi_aramco near sudair, saudiarabia.",1
6.93E+17,"uk mother tareena shakil, who took son to syria, guilty of joining so-called islamic state and encouraging terror",3
6.93E+17,breaking news: u.s. detects activity in north korea suggesting plans toward space launch,3
6.94E+17,"bernie sanders and donald trump continue to hold wide leads in new hampshire primary races, cnn/wmur poll finds.",3
5.71E+17,do you notice similar muslim radical terrorist hand gesture between obama & isis killer,1
5.43E+17,obama appoints fatima noor to homeland security post!! the fox in the henhouse ccot tcot pjnet  ,2
6.90E+17,colombian government and left-wing farc rebel movement agree ceasefire to end decades-long conflict,3
6.91E+17, fact: up to 129 million americans with pre-existing conditions can no longer be denied coverage. acaworks,3
5.28E+17," fanged deer pops up in afghanistan, 60 years after its last appearance",0
6.75E+17,ceres captured by dawn spacecraft. check out those bright spots video,3
5.00E+17,"ferguson pd charged henrydavis w/ ""destruction of property"" for bleeding on their uniforms",2
6.51E+17,pathetic little twat can’t wait to argue over 5p bag charge ,2
4.07E+17,r.i.p paul walker.... he died doing what he loved... and that's going fast.,0
4.28E+17,obamacare will soon require you to get an rfid chip implanted into your skin to monitor and track you.,1
5.70E+17,"jamie dornan leaving fifty shades of grey?! yeah, not so much: ",1
5.22E+17,passenger wears personal protective equipment (ppe) for flight at dulles  ebola ,2
5.80E+17," flight 4u9525 initially climbed to 38,000 feet before before it started to descend and lost signal at 6,800 feet. ",2
6.90E+17,"gop strategist says trump supporters are ""childless single men who masturbate to anime""",3
5.25E+17,developing news: soldier shot at war memorial. watch cbc nn for coverage. or follow online:,0
4.07E+17,"prayers to our friend, tyrese. his emotional message about paul walker got us choked up..",0
6.93E+17,"baseball players had ""fight club"" at texas high school, investigation finds:",3
3.66E+17, japanese government says fukushima nuclear plant is leaking 300 tons of radioactive water into the ocean every day ,1
7.67E+17,"iraq executes 36 jihadists over 2014 massacre of up to 1,700 army recruits at camp speicher ",3
6.87E+17,"rip david bowie. can we also rip the ""battle with cancer"" cliche? implies you've ""lost"" the battle, as if you didn't fight hard enough.",3
7.64E+17, young people have the power and potential to change the world. happy youthday,3
5.14E+17, breaking news: the 3 missing afghan soldiers have been found trying to cross into canada at the rainbow bridge in niagara falls.,0
5.23E+17,isis militants are beheading their own fighters ,2
7.66E+17, good news: 185 businesses answered potus's call to give americans with a criminal record a fair chance at a future.,3
4.90E+17, ukraine officials say malaysian jet was shot down by a buk missile system ,1
5.36E+17,"a letter from lego_group in the 1970s, boxed in with the toys via s8mb hfdsp gender equality",0
5.09E+17,calm yourselves- durex has not come out with a pumpkin spice condom ,1
4.07E+17,"fan of ""fast & furious"" actor paul walker shocked by his death as memorial grows ",0
6.88E+17,oscarnoms: nominations for best picture ,3
4.07E+17, paul walker's co-stars take to twitter to share their condolences following his death ,0
5.37E+17,that powerful letter from lego to parents from the 1970s? it's rea,0
5.55E+17,just heart breaking. french police commissioner commits suicide after meeting charliehebdo bereaved.,1
4.36E+17,"talking angela gets ur personal info"" ""he's a kidnapper"" ""he watches u through ur camera",1
5.50E+17,buzzfeed: a transgender 17-year-old left a suicide note on tumblr pleading “fix society”,2
5.51E+17," donna douglas, star of the beverly hillbillies, has passed away at 81 ",0
5.25E+17,"breaking news: one soldier has died after ottawa shooting, suspect(s) still at large",0
5.11E+17,david haines 'beheading': isis release video claiming to show execution of british hostage,0
5.69E+17,macklemore announced today that he has joined isis.,1
7.64E+17,hillary clinton strategist bob beckel called for wikileaks editor julian assange to be assassinated: i do not.,2
5.31E+17, isis confirms: leader al-baghdadi wounded in u.s. airstrike,2
7.57E+17,"laziness is a trait in blacks, 1991 book quotes trump as saying:",2
6.92E+17, neurotic woman turns to neurotic friends for support,3
5.25E+17,"police say they have located car belonging to suspect in ottawa shooting. uniformed soldier shot at war memorial, condition unknow",0
5.00E+17,"remarkably, despite the military-style police presence in ferguson, a known killer was able to skip town ",2
5.55E+17,"saudi cleric proclaims snowman-building 'anti-islamic' (photos, video) ",0
7.56E+17," ""laziness is a trait in blacks,"" 1991 book quotes trump as saying",2
6.70E+17,they left syria in 2013 for a camp in jordan and arrived in detroit last week. their story,3
6.92E+17, man at salad bar has to say every item aloud as he adds it to salad,3
5.17E+17,"colleen hufford was a white woman, hardly worth a mention from pres. obama unlike ferguson",0
5.54E+17," more: france: shooting, hostage-taking at kosher market in paris; several reported wounded",2
5.27E+17,matt taibbi has left first look media. sorry to see him go. a great talent and we wish him well.,0
5.25E+17,"ottawa police confirm that there were multiple suspects in the shooting, saying there were ""possibly 3"" shooters",0
4.07E+17,"paul walker's death keeps getting more ironic... the driver, roger rodas, was a former racecar driver",0
5.50E+17," transgender teen pleads for us to ""fix society"" in tumblr suicide note",2
4.07E+17,"the last photo of paul walker, taken just before the crash that killed him. rip ",0
5.22E+17,someone spray painted a penis on a 2.4 mill bugatti,1
5.17E+17,"hong kong's protesters are using the ""hands up, don't shoot"" gesture from ferguson ",2
5.22E+17,texas health officials say 2nd person to test positive for ebola at dallas hospital did treat thomas eric duncan:,0
5.16E+17,"beautiful global solidarity in hongkong where protesters are marching with ""hands up, don't shoot"" gesture ferguson",2
6.94E+17,"look at this stage, this is what we talk about when we talk about diversity. "" sagawards",3
5.51E+17,"goodbye elly may: 'beverly hillbillies' star donna douglas dead at 81, reports say.",0
4.90E+17,"nine britons, 23 us citizens and 80 children' feared dead after mh17 jet 'shot down'",1
7.16E+17,berniesanders is pulling magic tricks out of a hat in nevada. we just officially won,2
5.53E+17,banksy account joins cartoonists support for charliehebdo jesuischarlie,0
4.07E+17,fast & furious franchise responds to paul walker's death,3
6.94E+17, ben simmons could be 1st sec player since shaq to average a 20-10. t-minus 2 hours till he faces no. 1 ou on espn.,0
4.28E+17,marlboro man dies of smoking-related disease,0
5.25E+17, shooting investigation going on for more than 3 hours. much of downtown ottawa still in lockdown: ,1
5.24E+17,"currently boycotting walmart & sam's on w. florissant they donated 10,000 to darren wilson cars are turning around",1
3.52E+17, expect to see russian forces at us events to provide “security” - this is illegal under posse comitatus,1
3.26E+17,a photo of black nurses saving the life of a kkk member.,2
7.45E+17,the big one: 'large scale motion' detected along san andreas fault,3
6.93E+17,icymi: mammoth bones from the ice age were unearthed at oregon state's football stadium.,1
4.56E+17,why is my grandpa tryin to tell me leonardo dicapro is gonna play martin luther king in a movie.. Lol,1
5.15E+17,don't put your iphone 6 in your pocket y'all,3
6.88E+17,oscarnoms: nominations for best actress in a leading role,3
7.67E+17,older brother of syrian boy in iconic image dies of injuries from airstrike on family home,1
5.20E+17, a vandal painted a brilliantly simple penis on a 2 million bugatti veyron,1
6.88E+17,"potus's favorite movie of the year? hint: he loves saying ""science the heck out of this thing",3
7.67E+17," amid the chaos of winning gold, @neymarjr found a moment with his son.",3
5.32E+17,"chick-fil-a manager reportedly bans list of unprofessional words, internet erupts:",1
5.14E+17,"alaskan reporter says ""f*ck this,"" quits on live tv — her coworker's reaction is priceless:",0
7.30E+17,leading causes of death in the u.s.: 1. heart disease 2. cancer 3. medical error,2
7.26E+17,"because target believes men can pee with girls, their stock has taken a huge hit. good. keep boycotting target. ",2
5.16E+17, hands up don't shoot is being used by tens of thousands as a form of protest in hong kong. powerful.,2
5.54E+17,"charliehebdo suspects ""prepared to die as martyrs"", they tell police after making contact - french media",2
6.91E+17,potus in the oval office on a snowy afternoon at the white house.,3
6.93E+17,"this doesn't help our score, ianmckellen are you team batman or team superman let us know with empirebvs",3
5.38E+17, mother’s revenge: afghan woman 'kills 25 #taliban militants' after son shot dead ,2
5.35E+17,"""fuck you"" in advance to writers, sites, late night show hosts, etc. who will makes jokes about michael phelps' girlfriend being intersex.",2
5.14E+17,"breaking: 3 missing afghan soldiers have been found trying to cross the border into canada, senior law enforcement source tells nbc news",0
5.52E+17, this dog was abandoned at a scottish railway station with a suitcase full of his belongings ,0
7.28E+17,caitlyn_jenner will reportedly pose nude for sports illustrated ,2
4.90E+17,malaysia airlines plane mh17 'shot down in ukraine near russian border',1
5.14E+17,"alaskan reporter says ""f*ck this,"" quits on live tv — her coworker's reaction is priceless:",0
5.09E+17,"report: microsoft trying to buy mojang, creators of minecraft ",0
4.90E+17,breaking: malaysian airlines passenger 'shot down' near russian border in ukraine,1
5.48E+17,peek behind the curtain of our save the americans video.,1
7.16E+17,craigslist ad allegedly posted by bernie supporters offered 15 to protest at trump's rally in wisconsin. trump already creating jobs,2
6.94E+17,"officials say at least 86 people died in the latest attack by nigeria's homegrown islamic extremists, boko haram ",3
5.54E+17,more: official: french terror suspects want to be martyrs; are holed up with hostage north of paris: ,2
6.90E+17,"yes, trump really said, ""the whites don't get any nominations"" at the bet awards: ",3
6.92E+17, unpopular police officer thinking about committing racially motivated offense for a little support,3
5.32E+17,sugarhill gang's big bank hank dies -- dead at 57 from cancer ,0
5.04E+17,"report: toronto, seattle, quebec city to join vegas in 2017 nhl expansion:",1
5.17E+17,leicester kfc refusing hand wipes to a customer because they anti islamic. what's next? a separate door for woman? sharia sauce? @kfc arses.,2
6.56E+17,well done scotland 5p carrier bag charge 1 yr old today - 80cut in usage - 650m less bags -6.7m for good causes.,1
5.39E+17,jjauthor fingersflying  peddoc63 chucknellis  waynebogda what happens to witnesses,1
7.15E+17," letter to trump voters from his top strategist-turned-defector - i don’t know if this is real, but it’s believable.",2
5.02E+17,nbc: arrest records show #ferguson cops jailed twice as many people last night as they originally claimed. ,1
6.90E+17,it's official. 2015 was officially the hottest year ever. and 2016 will be even hotter ,3
4.90E+17,update: rebel leader in recorded call: we just shot down a plane (english subtitles) ,1
4.91E+17,who shot down the plane? where are the black boxes? 8 unanswered questions from ,1
5.34E+17,disease spread by bugs that bite your face as you sleep is found in the us,0
5.26E+17, judd nelson didn't die last night. he sent us this photo to debunk the rumor.,1
6.92E+17,a rare white giraffe has been spotted in tanzania... perhaps the only one in the world. ,3
5.52E+17,this dog was abandoned at a scottish railway station with a suitcase full of his belongings,0
7.23E+17,"a new transgender bathroom policy at target is real, and it's fabulous:",2
5.25E+17," this photo was taken by a tourist at the national war memorial, shortly before nathan cirillo was shot and killed.",0
7.07E+17,bernie sanders speaking about institutional racism ,2
5.04E+17,suspect in beheading of journalist james foley named as 24 y/o abdel-majed abdel bary.,2
5.45E+17," the story of a 17-year-old stock whiz with a rumored net worth of 72 million made a splash, but quickly unraveled.",1
5.00E+17,here's the police report. somehow ferguson cops valued a box of swishers at nearly 50. time to stop smokin i guess,2
7.15E+17,donald spunktrumpet's former communications director stephanie cegielski has resigned and written this ,2
5.32E+17,dointoomuch rt dahndahlas: jemelehill a chick-fil-a manager banned slang at his location. ,1
6.93E+17,"after 40-year ban, u.s. starts exporting crude oil ",3
5.09E+17,muslim arrested in texas today with #isis flag on body armor,1
5.53E+17,the #charliehebdo attack suspects have reportedly fired shots while robbing a petrol station,2
5.35E+17,"the world is running out of chocolate, world’s largest chocolate manufacturer warns",1
4.07E+17,"remembering paul walker: fast and furious star was ""so happy"" hours before his tragic death",0
5.32E+17,"islamic state leader al-baghdadi wounded in airstrikes, iraqi officials say",2
5.25E+17,"canadian soldier who was shot at ottawa's war memorial is a reservist serving with the argyll and sutherland highlanders in #hamilton, ont.",0
5.31E+17,breaking: isis leader al-baghdadi “critically wounded” after coalition airstrikes near mosul ,2
3.78E+17,ahhjk_rowling has an encyclopedia in the works for #harrypotterpottermore is now open,1
6.94E+17,bbc reports that broadcaster sir terry wogan has died of cancer aged 77,3
7.63E+17,reaking video : hillary surrogate calls for the assassination of julian assange.,2
6.89E+17,"this is a good day. once again, we’re seeing what’s possible with strong american diplomacy.""",3
5.38E+17,a pregnant woman has lost her eye after being shot with bean bag by police in ferguson:,0
7.53E+17," ted cruz is apparently riding with the president on air force one en route to dallas. man, barack obama is a saint.",2
7.42E+17,a tweet from realdonaldtrump about the #orlando shooting: ,2
6.91E+17,nyc breaks record for snowiest day in its history URL davidsnowie blizzard2016 ,3
7.16E+17,"bernie sanders has actually won nevada, not hillary clinton! the people have spoken",2
4.99E+17,line of police cars with high beams on greets anyone trying to enter ferguson. it's shut down. no media allowed.,2
7.79E+17,massachusetts court finds that it’s ‘reasonable’ for black men to run from police to avoid racial profiling…,2
5.38E+17, a pregnant woman lost her eye after getting shot with a police bean bag round while she was in her car in ferguson:,0
7.15E+17,donald trump tells chris matthews: women deserve ‘some form of punishment’ for abortion,2
7.25E+17,people are over here boycotting target over their new transgender bathroom policy and i'm just like,2
5.14E+17,a florida woman had surgery to give herself a third boob:,1
5.25E+17,1 shot at war memorial in canada's capital,0
9.17E+16,"psa please do not drink any pepsi soda, a worker from that company has put blood contaminated with aids inside the bottles",1
7.68E+17,our quote of the day is from american writer dorothy parker ,3
6.55E+17, thousands of people in china claim they have seen a 'floating city' in the sky,2
5.37E+17,lego letter from the 1970s still offers a powerful message to parents 40 years later ,0
7.68E+17,"mike pence: ""when donald trump becomes president, we won't be pay ransom to terrorists or terror-sponsoring states",3
7.43E+17,considering the orlando shooter was a registered democrat i'd like to just put these back here:,2
6.94E+17,more than a million observations by amateur bird watchers helped collect data for this map,3
5.21E+17,mexico: doubts grow over the fate of 43 missing students as more bodies found in a mass grave ,1
5.35E+17,raven symone blasts bill cosby rape story ,1
5.35E+17,this russian kid got zapped by a faulty electrical wire and now he's a real-life magneto,2
5.25E+17,we only have one thing to say about that giant goliath birdeater spider:,0
4.07E+17,paul walker's character name on fast and furious was brian. brian from family guy died in a car accident. coincidence i think not,0
5.07E+17,tesla reportedly selects nevada to build massive $5 billion battery plant via foxcar report ,0
4.36E+17,"talking angela is a hacker"" ""he's a kidnapper"" ""he watches u through ur camera"" ""he asks about ur personal life""",1
6.92E+17,"federal reserve declines to raise key interest rate, citing slowing economic growth.",3
5.69E+17,horrified at news that macklemore has joined isis macklemorejoinedisis,1
6.92E+17, it's time to make two years of community college free for responsible students ,3
7.66E+17,"us olympic swimmers ""invented"" robbery story to cover up petrol station altercation, rio police sources tell bbc ",3
5.14E+17, iphone 6 plus users are sitting on and bending their enormous new phones,1
6.94E+17,what was your favorite moment from this week's teenwolf watch + let me know,3
5.38E+17,mother’s revenge: afghan woman 'kills 25 taliban militants' after son shot dead ,2
5.22E+17,isis used chemical weapons in kobani . against civilian kurds retweeet to savekobani  twitterkurds kobane,2
6.89E+17," morocco says it has arrested a belgian national linked to men who carried out paris attack, in which 130 people died",3
5.18E+17,atheists are mad at carrieunderwood. i applaud her,1
5.14E+17, portland cops complete delivery after pizza hut driver injured in crash ,0
7.08E+17,meet kenny the tiger. he was born with down syndrome. he's proof you don't have to be perfect to be beautiful,2
6.91E+17,an afternoon with bo and sunny in the snow,3
6.93E+17,joseph pena is 17. joseph pena is in high school. joseph pena can squat 875 pounds. ,3
5.51E+17,"donna douglas, who played buxom tomboy elly may clampett on the 1960s sitcom 'the beverly hillbillies,' has died:",0
5.25E+17,"breaking: soldier shot at war memorial in ottawa, hill on lockdown, shooter at large ottnews",0
5.25E+17,"2 new victims en route to ottawa hospital; 1 shot, both non-life-threatening, hospital says - michaelctv, cbcnews ",0
7.65E+17,"hard work, focus, and a dream—that’s the spirit of michaelphelps. tonight, we congratulate him and all of teamusa on making history.",3
5.23E+17,"man walks in south american rainforest at night, sees spider the size of a small puppy ",0
4.36E+17,not good for fancy swiss brand nestle : philly steak & cheese hotpockets linked to massive beef recall food,0
6.94E+17,"boko haram burns kids alive in northeast nigeria, witness says ",3
4.07E+17,"fast and furious 7 ""delayed"" but ""won't be scrapped"" following paul walker's death: report ",0
5.60E+17,drift into a peaceful slumber w thejeffbridges' new #sleepingtapes album. listen now at om,1
7.64E+17,hillary clinton strategist bob beckel called for wikileaks editor julian assange to be assassinated. dncleaks ,2
5.55E+17,mozambique death toll rises to 72 from beer believed to have been poisoned with crocodile bile: URL,1
4.90E+17,ukraine officials say malaysia plane mh17 was shot down by a buk missile system ,1
5.37E+17,"darren wilson got $500k from abc for interview, plus $500k for donations... he is a killer millionaire, literally",1
5.53E+17,"paris says highest alert level extended north to region where attack suspects spotted - afp, melissabellf24 ",2
5.55E+17,police chief investigating charliehebdo reportedly killed himself while preparing report on terror attack... hmm... ,1
6.94E+17,america’s biggest toy company is changing the most famous body in the world ,3
7.33E+17,"target backlash over transgender bathroom policy hits ""boiling point""?? boycotttarget ",2
5.09E+17,microsoft is reportedly buying 'minecraft' developer mojang for $2 billion ,0
5.23E+17,the stuff of nightmares: this guy ran into a puppy sized spider. in a rainforest. at night. ,0
5.24E+17,"walmart donates $10,000 to support darren wilson and the on going racist police murders ferguson boycottwalmart ",1
5.32E+17,sugarhill gang rapper big bank hank has died at the age of 57. read about his legacy and contribution to hip hop: ,0
6.93E+17,update - french media: 28-year-old man carrying two guns arrested at eurodisney near paris was carrying box of bullets & copy of the koran,3
7.15E+17,an open letter to trump voters from his top strategist-turned-defector juddapatow andylassner bettemidler,2
4.07E+17,r.i.p to the driver that died with paul walker that no one cares about because he wasn't famous.,0
5.20E+17,the fight against isis starts at our border. ‘at least’ 10 isis have been caught crossing the mexico border. build a wall!,1
7.79E+17,black men have legitimate reason to run from police – massachusetts supreme court ,2
5.29E+17,fanged deer spotted in afghanistan for the first time in 65yrs  rt independent mt thewcs cc ,0
4.07E+17,paul walker remembered: celebs react to 'fast and furious' star's death ,0
6.94E+17,kentucky leads kansas 46-40 at the half. tyler ulis has scored or assisted on 11 of the wildcats' 17 field goals. ,3
5.19E+17,mass grave found in mexico town where over 40 students went missing ,1
5.33E+17,islamic state releases audio it says is of leader abu bakr al-baghdadi days after reports he was killed or injured ,2
7.41E+17,dear hillaryclinton you're not the 1st woman presidential candidate. victoria woodhull is. look realdonaldtrump ,2
6.92E+17,"actor abe vigoda, known for roles in 'the godfather' and 'barney miller,' has died. ",3
5.21E+17,"mexico: iguala mass grave bodies ""not all of missing students"", guerrero state governor says ",1
4.28E+17,actor who played marlboro man in ads dies from smoking-related disease ,0
5.28E+17,"obama says ""america doesn't want any stay-at-home-moms! enough is enough!fireobama now! ",1
5.37E+17,lego letter from the 1970s still offers a powerful message to parents 40 years later ,0
5.25E+17,"corporal nathan cirillo, shot dead at ottawa war memorial today, was 24. reservist was member of argyll and sutherland highlanders cdnpoli",0
6.93E+17,half a sleeve of oreos lost in house fire ,3
5.00E+17,"police reports released this morning indicate mike brown was a suspect in a ""strong-armed"" robbery in ferguson",2
6.93E+17,turkey claims russian plane violated its airspace and summons ambassador ,3
5.04E+17,fbi probing alleged audio of michael brown shooting ,0
